product_name, price(PLN), camera(Mpix), ram(GB), storage(GB), diagonal(inch), waterproof
Smartfon Apple iPhone 11 64 GB Dual SIM Czarny  (MWLT2PM/A),3 495.40 z³,12,4,64,6.1",IP68
Smartfon Apple iPhone 7 32 GB Czarny  (MN8X2PM/A),1 569 z³,12,2,32,4.7",IPXX
Smartfon Apple iPhone 11 128 GB Dual SIM Czarny  (MWM02PM/A),3 729 z³,12,4,128,6.1",IPXX
Smartfon Apple iPhone 11 Pro 64 GB Dual SIM Srebrny  (MWC32PM/A),4 839 z³,12,4,64,5.8",IP68
Smartfon Apple iPhone 11 Pro 64 GB Dual SIM Zielony  (MWC62PM/A),5 035.99 z³,12,4,64,5.8",IP68
Smartfon Apple iPhone 11 Pro Max 64 GB Dual SIM Zielony  (MWHH2PM/A),5 299 z³,12,4,64,6.5",IP68
Smartfon Apple iPhone SE 2020 64 GB Dual SIM Czerwony  (MX9U2PM/A),2 189 z³,12,3,64,4.7",IP67
Smartfon Apple iPhone SE 2020 128 GB Dual SIM Czarny  (MXD02PM/A),2 476.99 z³,12,3,128,4.7",IP67
Smartfon Apple iPhone XR 64 GB Dual SIM Czarny  (MRY42PM/A),2 969 z³,12,3,64,6.1",IPXX
Smartfon Apple iPhone 11 64 GB Dual SIM ¯ó³ty  (MWLW2PM/A),3 485.99 z³,12,4,64,6.1",IPXX
Smartfon Apple iPhone 11 64 GB Dual SIM Zielony  (MWLY2PM/A),3 487.20 z³,12,4,64,6.1",IPXX
Smartfon Apple  iPhone XR 256 GB Dual SIM Koralowy  (MRYP2PM/A),3 798.60 z³,12,3,256,6.1",IP67
Smartfon Apple  iPhone XR 256 GB Dual SIM Niebieski  (MRYQ2PM/A),3 799 z³,12,3,256,6.1",IP67
Smartfon Apple iPhone XR 256 GB Dual SIM Czerwony  (MRYM2PM/A),3 799 z³,12,3,256,6.1",IPXX
Smartfon Apple iPhone 11 Pro 64 GB Dual SIM Szary  (MWC22PM/A),4 839 z³,12,4,64,5.8",IPXX
Smartfon Apple iPhone 11 Pro 64 GB Dual SIM Z³oty  (MWC52PM/A),4 898 z³,12,4,64,5.8",IP68
Smartfon Apple iPhone 11 Pro Max 64 GB Dual SIM Szary  (MWHD2PM/A),5 399 z³,12,4,64,6.5",IP68
Smartfon Apple iPhone 11 Pro 256 GB Dual SIM Srebrny  (MWC82PM/A),5 762.80 z³,12,4,256,5.8",IP68
Smartfon Apple iPhone 11 Pro Max 256 GB Dual SIM Szary  (MWHJ2PM/A),6 293 z³,12,4,256,6.5",IP68
Smartfon Apple iPhone SE 32 GB Szary  (MP822LP/A),1 888.95 z³,12,2,32,4",Nie
Smartfon Apple iPhone 7 32 GB Srebrny  (MN8Y2PM/A),1 718.99 z³,12,2,32,4.7",IP67
Smartfon Apple iPhone SE 32 GB Z³oty  (MP842LP-A),1 888.95 z³,12,2,32,4",Nie
Smartfon Apple iPhone X 64 GB Szary  (MQAC2PM/A ),3 778.95 z³,12,3,64,5.8",IP67
Smartfon Apple iPhone 6S 32 GB Szary  (MN0W2PM/A),1 572.90 z³,12,2,32,4.7",Nie
Smartfon Apple iPhone X 64 GB Srebrny  (MQAD2PM/A),3 778.95 z³,12,3,64,5.8",IPXX
Smartfon Apple iPhone 6S 32 GB Srebrny  (MN0X2PM/A),1 316.81 z³,12,2,32,4.7",Nie
Smartfon Apple iPhone 7 32 GB Z³oty  (MN902PM/A),1 521 z³,12,2,32,4.7",IP67
Smartfon Apple iPhone SE 32 GB Ró¿owy  (MP852LP-A),1 783.95 z³,12,2,32,4",Nie
Smartfon Apple iPhone XS 64 GB Dual SIM Srebrny  (MT9F2PM/A),3 294.90 z³,12,4,64,5.8",IPXX
Smartfon Apple iPhone 6S 32 GB Z³oty  (MN112PM/A),1 319.28 z³,12,2,32,4.7",Nie
Smartfon Apple iPhone 7 Plus 32 GB Srebrny  (MNQN2PM/A),1 979 z³,12,3,32,5.5",IP67
Smartfon Apple iPhone 7 Plus 128 GB Czarny  (MN4M2PM/A),2 271.99 z³,12,3,128,5.5",IPXX
Smartfon Apple iPhone 8 64 GB Szary  (MQ6G2PM/A),2 728.95 z³,12,2,64,4.7",IP67
Smartfon Apple iPhone 6S 32 GB Ró¿owy  (MN122PM/A),1 572.90 z³,12,2,32,4.7",Nie
Smartfon Apple iPhone SE 32 GB Srebrny  (MP832LP-A),1 888.95 z³,12,2,32,4",Nie
Smartfon Apple iPhone 7 128 GB Czarny  (MN962PM/A),3 253.95 z³,12,2,128,4.7",IPXX
Smartfon Apple iPhone 7 128 GB Ró¿owy  (MN952PM/A),1 779 z³,12,2,128,4.7",IPXX
Smartfon Apple iPhone 7 Plus 32 GB Czarny  (MNQM2PM/A),2 031.99 z³,12,3,32,5.5",IPXX
Smartfon Apple iPhone 8 64 GB Z³oty  (MQ6J2PM/A),2 235.96 z³,12,2,64,4.7",IPXX
Smartfon Apple iPhone 11 64 GB Dual SIM Czerwony  (MWLV2PM/A),3 589.99 z³,12,4,64,6.1",IPXX
Smartfon Apple iPhone 11 Pro 256 GB Dual SIM Szary  (MWC72PM/A),5 939 z³,12,4,256,5.8",IP68
Smartfon Apple iPhone 7 32 GB Ró¿owy  (MN912PM/A),1 644.99 z³,12,2,32,4.7",IPXX
Smartfon Apple iPhone 7 128 GB Z³oty  (MN942PM/A),1 779 z³,12,2,128,4.7",IPXX
Smartfon Apple iPhone SE 64 GB Z³oty  (MLXP2LP/A),1 888.95 z³,12,2,64,4",Nie
Smartfon Apple iPhone SE 64 GB Ró¿owy  (MLXQ2LP/A),1 888.95 z³,12,2,64,4",Nie
Smartfon Apple iPhone 8 64 GB Srebrny Refurbished,1 899 z³,12,2,64,4.7",IPXX
Smartfon Apple iPhone 7 128 GB Czarny  (MN922PM/A),1 908.99 z³,12,2,128,4.7",IPXX
Smartfon Apple iPhone 7 Plus 128 GB Z³oty  (MN4Q2PM/A),2 273.16 z³,12,3,128,5.5",IP67
Smartfon Apple iPhone 7 Plus 128 GB Srebrny  (MN4P2PM/A),2 307 z³,12,3,128,5.5",IP67
Smartfon Apple iPhone 8 64 GB Srebrny  (MQ6H2PM/A),2 307.90 z³,12,2,64,4.7",IP67
Smartfon Apple iPhone XR 64 GB Dual SIM Bia³y  (MRY52ZD/A),3 173.99 z³,12,3,64,6.1",IPXX
Smartfon Apple iPhone XS 64 GB Dual SIM Z³oty  (MT9G2PM/A),3 879.75 z³,12,4,64,5.8",IPXX
Smartfon Apple iPhone 8 256 GB Srebrny  (MQ7D2PM/A),3 249.75 z³,12,2,256,4.7",IP67
Smartfon Apple iPhone XS 64 GB Dual SIM Szary  (MT9E2PM/A),3 516.45 z³,12,4,64,5.8",IPXX
Smartfon Apple  iPhone XR 128 GB Dual SIM Czarny  (MRY92PM/A),3 535.99 z³,12,3,128,6.1",IP67
Smartfon Apple iPhone 8 256 GB Z³oty  (MQ7E2PM/A),3 669.75 z³,12,2,256,4.7",IPXX
Smartfon Apple iPhone XS 256 GB Dual SIM Szary  (MT9H2PM/A),3 975.99 z³,12,4,256,5.8",IP68
Smartfon Apple iPhone XS Max 256 GB Dual SIM Srebrny ,4 593.75 z³,12,4,256,6.5",IPXX
Smartfon Apple iPhone XS Max 64 GB Dual SIM Szary  (MT502PM/A),3 988.95 z³,12,4,64,6.5",IP68
Smartfon Apple iPhone X 256 GB Szary  (MQAF2PM/A),5 277.40 z³,12,3,256,5.8",IPXX
Smartfon Apple iPhone 8 Plus 64 GB Szary  (MQ8L2PM/A ),3 039.75 z³,12,3,64,5.5",IPXX
Smartfon Apple iPhone 6S 16 GB Srebrny  (MKQK2 ),1 363.95 z³,12,2,16,4.7",Nie
Smartfon Apple iPhone 6 Plus 16 GB Szary ,1 758.75 z³,8,1,16,5.5",Nie
Smartfon Apple iPhone 7 128 GB Srebrny  (MN932PM/A),1 779 z³,12,2,128,4.7",IPXX
Smartfon Apple iPhone 7 32 GB Ró¿owy  (99924969 (P)),1 789.99 z³,12,2,32,4.7",IPXX
Smartfon Apple iPhone 7 Plus 32 GB Z³oty  (MNQP2PM/A),1 867.80 z³,12,3,32,5.5",IP67
Smartfon Apple iPhone 8 64 GB Z³oty Refurbished,1 899 z³,12,2,64,4.7",IPXX
Smartfon Apple iPhone 6 Plus 16 GB Srebrny ,2 098.95 z³,8,1,16,5.5",Nie
Smartfon Apple iPhone 7 Plus 32 GB Ró¿owy  (MNQQ2PM/A),2 138.99 z³,12,3,32,5.5",IP67
Smartfon Apple iPhone SE 2020 64 GB Dual SIM Bia³y  (MX9T2PM/A),2 236.99 z³,12,3,64,4.7",IP67
Smartfon Apple iPhone SE 2020 64 GB Dual SIM Czarny  (MX9R2PM/A),2 246.99 z³,12,3,64,4.7",IP67
Smartfon Apple iPhone SE 2020 128 GB Dual SIM Czerwony  (MXD22PM/A),2 464.99 z³,12,3,128,4.7",IP67
Smartfon Apple iPhone 8 128 GB Z³oty  (MX182PM/A),2 496.90 z³,12,2,128,4.7",IPXX
Smartfon Apple iPhone SE 2020 128 GB Dual SIM Bia³y  (MXD12PM/A),2 501.99 z³,12,3,128,4.7",IP67
Smartfon Apple iPhone 7 Plus 128 GB Ró¿owy  (MN4U2PM/A),2 552.99 z³,12,3,128,5.5",IP67
Smartfon Apple iPhone 8 Plus 64 GB Z³oty Refurbished,2 599 z³,12,3,64,5.5",IPXX
Smartfon Apple iPhone 8 Plus 64 GB Srebrny Refurbished,2 599 z³,12,3,64,5.5",IPXX
Smartfon Apple iPhone 8 Plus 64 GB Szary Refurbished,2 599 z³,12,3,64,5.5",IPXX
Smartfon Apple iPhone 8 Plus 128 GB Szary  (MX242PM/A),2 703.99 z³,12,3,128,5.5",IPXX
Smartfon Apple iPhone 8 128 GB Srebrny  (MX182CN/A),2 728.95 z³,12,2,128,4.7",IPXX
Smartfon Apple iPhone 8 64 GB Czerwony ,2 728.95 z³,12,2,64,4.7",IPXX
Smartfon Apple iPhone 8 Plus 128 GB Srebrny  (MX252PM/A),2 755.99 z³,12,3,128,5.5",IPXX
Smartfon Apple iPhone 8 Plus 128 GB Z³oty  (MX262PM/A),2 770.16 z³,12,3,128,5.5",IPXX
Smartfon Apple iPhone 8 128 GB Szary  (MX162CN/A),2 833.95 z³,12,2,128,4.7",IPXX
Smartfon Apple iPhone 7 Plus 32 GB Czarny ,2 938.95 z³,12,2,32,5.5",IPXX
Smartfon Apple iPhone XR 64 GB Dual SIM Czerwony  (MRY62CN/A),3 146.85 z³,12,3,64,6.1",IP67
